Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Found in Sample Group: control,Found in Sample Group: ketamine,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Comet: Comet,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Comet,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Gene Symbol,Gene ID,Reactome Pathways,Ensembl Gene ID,WikiPathways,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (ketamine) / (control),Abundance Ratio Adj. P-Value: (ketamine) / (control),Abundance Ratio Variability [%]: (ketamine) / (control),Abundances (Grouped): control,Abundances (Grouped): ketamine,Abundances (Grouped) CV [%]: control,Abundances (Grouped) CV [%]: ketamine,"Found in Sample: F1: Sample, control","Found in Sample: F4: Sample, control","Found in Sample: F5: Sample, control","Found in Sample: F9: Sample, control","Found in Sample: F2: Sample, ketamine","Found in Sample: F6: Sample, ketamine","Found in Sample: F10: Sample, ketamine","Found in Sample: F11: Sample, ketamine",# Protein Groups,Modifications
TRUE,High,Master Protein,Q9Z2I8,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Suclg2 PE=1 SV=3",High,High,0,8.359,12,4,10,4,433,46.8,7.02,7.16,4.12,4,4,other metabolic processes,plasma membrane;other membranes;other cell component,other molecular function,"Pf00549, Pf08442",20917,Suclg2,mmu:20917; Q3T9B8; Q3TJQ5; Q3TK63; Q66JT3; Q7TMY3; Q80VV1; Q8K2K9; Q9Z2I8,Mitochondrial protein degradation; Citric acid cycle (TCA cycle),ENSMUSG00000061838,TCA cycle,3,0,0.476,0.1348179142,20.74,156.7,43.3,,,n/a,n/a,n/a,High,n/a,n/a,n/a,High,1,
TRUE,High,Master Protein,Q62425,Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus OX=10090 GN=Ndufa4 PE=1 SV=2,High,High,0,6.723,27,2,26,2,82,9.3,9.52,22.2,12.95,2,2,,other membranes,other molecular function,Pf06522,17992,Ndufa4,mmu:17992; Q62425; Q9CQP6,TP53 Regulates Metabolic Genes; Respiratory electron transport; Cytoprotection by HMOX1; Complex IV assembly,ENSMUSG00000029632,Oxidative phosphorylation; Electron transport chain,6,0,1.883,0.2414135889,49.3,66.6,133.4,67.92,32.29,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q8C854,Myelin expression factor 2 OS=Mus musculus OX=10090 GN=Myef2 PE=1 SV=1,High,High,0,13.141,8,5,38,5,591,63.3,8.87,33.02,20.23,5,4,other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00076,17876,Myef2,mmu:17876; Q60690; Q6P930; Q6ZPT3; Q8C854; Q8QZZ1,,ENSMUSG00000027201; ENSMUSG00000049230,Mitochondrial gene expression; MicroRNAs in cardiomyocyte hypertrophy; mRNA processing,3,0,0.797,0.9238689393,22.25,109.4,90.6,13.41,36.39,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q61425,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Hadh PE=1 SV=2",High,High,0,7.011,8,3,13,3,314,34.4,8.65,13.71,1.63,3,2,other metabolic processes;other biological processes,mitochondrion;nucleus,other molecular function,"Pf00725, Pf02737",15107,Hadh,mmu:15107; Q3TF75; Q3THK8; Q3UFI0; Q61425; Q8K149; Q925U9,Mitochondrial protein degradation; Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA; Beta oxidation of octanoyl-CoA to hexanoyl-CoA; Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA; Beta oxidation of hexanoyl-CoA to butanoyl-CoA; Beta oxidation of butanoyl-CoA to acetyl-CoA,ENSMUSG00000027984,Fatty acid beta-oxidation; Fatty acid biosynthesis; Mitochondrial long chain fatty acid beta-oxidation; Tryptophan metabolism,10,0,1.412,0.7912661366,40.74,85,115,40.79,61.29,n/a,Peak Found,High,High,Peak Found,High,Peak Found,High,1,
TRUE,High,Master Protein,Q61598,Rab GDP dissociation inhibitor beta OS=Mus musculus OX=10090 GN=Gdi2 PE=1 SV=1,High,High,0,10.185,19,7,13,5,445,50.5,6.25,10.54,2.62,6,4,transport;signal transduction;other biological processes,other membranes;ER/Golgi;other cell component,enzyme regulator activity;other molecular function,Pf00996,14569,Gdi2,mmu:14569; Q541Z9; Q61598; Q8C530; Q9D8M9,Neutrophil degranulation; RAB GEFs exchange GTP for GDP on RABs,ENSMUSG00000021218,,2,0,0.839,0.9546907661,17.85,116.5,83.5,,59.91,n/a,n/a,n/a,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,P62702,Small ribosomal subunit protein eS4 OS=Mus musculus OX=10090 GN=Rps4x PE=1 SV=2,High,High,0,3.315,11,3,5,3,263,29.6,10.15,3.55,0,3,2,protein metabolism;other metabolic processes;other biological processes,cytosol;translational apparatus;nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00467, Pf00900, Pf08071, Pf16121",20102,Rps4x,mmu:20102; P12631; P12750; P27576; P55831; P62702; Q14727; Q9CXN0,"L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Translation initiation complex formation; Formation of the ternary complex, and subsequently, the 43S complex; Ribosomal scanning and start codon recognition",ENSMUSG00000031320,Cytoplasmic ribosomal proteins; mRNA processing,12,0,1.012,0.996783417,45.53,111.1,88.9,60.06,16.51,Peak Found,Peak Found,High,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus OX=10090 GN=Acaa2 PE=1 SV=3",High,High,0,31.478,30,8,36,8,397,41.8,8.09,30.76,22.26,8,8,cell organization and biogenesis;other metabolic processes;stress response;transport,mitochondrion,other molecular function,"Pf00108, Pf02803",52538,Acaa2,mmu:52538; Q3TIT9; Q8BWT1; Q8JZR8,Mitochondrial Fatty Acid Beta-Oxidation,ENSMUSG00000036880,Fatty acid biosynthesis,2,0,1.163,0.9546907661,36.24,99.5,100.5,69.72,66.97,Peak Found,High,High,High,Peak Found,High,Peak Found,High,1,
TRUE,High,Master Protein,P0DP27,Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1,High,High,0,34.151,72,8,286,8,149,16.8,4.22,289.87,282.16,8,7,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;other cell component,signal transduction activity or receptor binding;enzyme regulator activity;cytoskeletal activity;other molecular function,Pf13499,12313; 12314; 12315,Calm2,mmu:12313; mmu:12314; mmu:12315; P02593; P0DP27; P62204; P70667; P99014; Q3TEH7; Q3THK5; Q3U6Z5; Q3U7C7; Q498A3; Q61379; Q61380; Q8BNC9; Q91VQ9; Q9D6G4,,ENSMUSG00000001175; ENSMUSG00000019370; ENSMUSG00000036438,Endochondral ossification; MicroRNAs in cardiomyocyte hypertrophy; Alzheimer's disease; G protein signaling pathways; G13 signaling pathway; Glycogen metabolism; Myometrial relaxation and contraction pathways; Calcium regulation in cardiac cells,8,0,1.648,0.4794177678,58.37,80.5,119.5,11.18,36.21,High,High,High,High,High,High,High,High,1,
TRUE,High,Master Protein,P99027,Large ribosomal subunit protein P2 OS=Mus musculus OX=10090 GN=Rplp2 PE=1 SV=3,High,High,0,16.425,57,4,10,4,115,11.6,4.54,10.85,8.21,4,3,protein metabolism;other metabolic processes,cytosol;translational apparatus;other cell component,other molecular function,Pf00428,67186,Rplp2,mmu:67186; P99027; Q3TKY3; Q9CQ99; Q9CZJ8,L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),ENSMUSG00000025508,Cytoplasmic ribosomal proteins,8,0,1.33,0.8538954092,71.43,59.9,140.1,112.84,48.7,Peak Found,Peak Found,Peak Found,High,Peak Found,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,P17225,Polypyrimidine tract-binding protein 1 OS=Mus musculus OX=10090 GN=Ptbp1 PE=1 SV=3,High,High,0,15.844,13,5,21,4,555,59.3,9.16,19.68,12.33,5,4,DNA metabolism;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf00076, Pf11835, Pf13893",19205,Ptbp1,mmu:19205; P17225; Q8BGJ5; Q922I7,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA; FGFR2 alternative splicing,ENSMUSG00000006498,mRNA processing,4,1,0.881,0.9564321402,38.37,98.3,101.7,67.34,27.46,Peak Found,n/a,High,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,P62960,Y-box-binding protein 1 OS=Mus musculus OX=10090 GN=Ybx1 PE=1 SV=3,High,High,0,20.006,17,4,31,1,322,35.7,9.88,31.07,28.98,4,4,RNA metabolism OR transcription;other metabolic processes;transport;developmental processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00313,22608,Ybx1,mmu:22608; P22568; P27817; P43482; P62960,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA; mRNA Splicing - Minor Pathway; Interferon gamma signaling; Noncanonical activation of NOTCH3,ENSMUSG00000028639,SIDS susceptibility pathways; Mecp2 and associated Rett syndrome; mRNA processing; IL-2 signaling pathway,9,0,0.861,0.9546907661,23.21,104.6,95.4,37.03,15.78,High,Peak Found,High,High,n/a,n/a,High,High,1,
TRUE,High,Master Protein,P62311,U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus OX=10090 GN=Lsm3 PE=1 SV=2,High,High,0,2.457,12,1,5,1,102,11.8,4.7,4.5,2.32,1,1,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes,nucleus;other cell component,nucleic acid binding activity,Pf01423,67678,Lsm3,mmu:67678; P62311; Q9Y4Z1,mRNA Splicing - Major Pathway; mRNA decay by 5' to 3' exoribonuclease,ENSMUSG00000034192,,2,0,0.983,0.996783417,30.54,98,102,38.68,16.37,n/a,Peak Found,High,High,n/a,n/a,Peak Found,High,1,
TRUE,High,Master Protein,P49817,Caveolin-1 OS=Mus musculus OX=10090 GN=Cav1 PE=1 SV=1,High,High,0,3.471,12,1,3,1,178,20.5,6.02,1.87,2.39,1,1,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding;enzyme regulator activity;other molecular function,Pf01146,12389,Cav1,mmu:12389; P49817; Q8C1X7; Q8CBP4; Q9QYH3; Q9QYH4,Extra-nuclear estrogen signaling; RHOF GTPase cycle; RHOD GTPase cycle; RHOA GTPase cycle; RHOB GTPase cycle; CDC42 GTPase cycle; RAC1 GTPase cycle; RHOQ GTPase cycle; RHOC GTPase cycle; RHOG GTPase cycle; RND2 GTPase cycle; RHOH GTPase cycle; RAC2 GTPase cycle; RAC3 GTPase cycle; RND3 GTPase cycle; RND1 GTPase cycle; Basigin interactions; Disassembly of the destruction complex and recruitment of AXIN to the membrane; VEGFR2 mediated vascular permeability; eNOS activation; NOSTRIN mediated eNOS trafficking,ENSMUSG00000007655,EGFR1 signaling pathway; Integrin-mediated cell adhesion; Focal adhesion,24,0,1.31,0.8644163811,38.81,86.6,113.4,,35.81,n/a,n/a,n/a,High,n/a,n/a,Peak Found,High,1,
TRUE,High,Master Protein,P97352,Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1,High,High,0,9.323,48,5,32,5,98,11.2,6.13,27.38,19.61,5,5,transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,Pf01023,20196,S100a13,mmu:20196; P97352,,ENSMUSG00000042312,,0,0,1.566,0.5958660739,70.53,75.6,124.4,83.94,70.33,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,P34022,Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2,High,High,0,10.389,15,3,11,3,203,23.6,5.22,9.55,4.93,3,3,cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,enzyme regulator activity,Pf00638,19385,Ranbp1,mmu:19385; P34022; P34023; Q3TL81; Q9D894; Q9DCA3,,ENSMUSG00000005732,,0,0,1.24,0.9204295864,31.82,82.6,117.4,45.59,54.6,Peak Found,High,Peak Found,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,A0A2R8VHP3,Predicted pseudogene 5478 OS=Mus musculus OX=10090 GN=Gm5478 PE=1 SV=1,High,High,0,18.068,10,6,132,1,535,57.9,6.2,124.43,106.59,6,6,cell organization and biogenesis;other biological processes,cytoskeleton,"bone, tooth or skin structural activity","Pf00038, Pf16208",,Gm5478,A0A2R8VHP3,Formation of the cornified envelope,ENSMUSG00000095241,,2,0,0.681,0.7570438072,94.58,134.6,65.4,69.03,102.18,High,High,High,High,High,High,Peak Found,High,1,
TRUE,High,Master Protein,Q62159,Rho-related GTP-binding protein RhoC OS=Mus musculus OX=10090 GN=Rhoc PE=1 SV=2,High,High,0,4.815,15,3,6,3,193,22,6.58,7.58,0,3,1,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,other molecular function,Pf00071,11853,Rhoc,mmu:11853; Q3TUN0; Q62159,RHOC GTPase cycle; G alpha (12/13) signalling events; RHO GTPases Activate Formins; RHO GTPases activate CIT; Sema4D induced cell migration and growth-cone collapse; RHO GTPases activate PKNs; RHO GTPases Activate ROCKs,ENSMUSG00000002233,Spinal cord injury,8,0,1.112,0.9564321402,27.73,69.8,130.2,83.29,5.25,n/a,n/a,Peak Found,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q64433,"10 kDa heat shock protein, mitochondrial OS=Mus musculus OX=10090 GN=Hspe1 PE=1 SV=2",High,High,0,17.035,55,6,90,6,102,11,8.35,75.29,52.15,6,6,protein metabolism;other metabolic processes,mitochondrion,other molecular function,Pf00166,15528,Hspe1,mmu:15528; Q64433,RHOG GTPase cycle,ENSMUSG00000073676,,1,0,1.186,0.948014582,42.21,90.5,109.5,45.12,11.45,High,High,High,High,Peak Found,High,High,High,1,
TRUE,High,Master Protein,Q9CX86,Heterogeneous nuclear ribonucleoprotein A0 OS=Mus musculus OX=10090 GN=Hnrnpa0 PE=1 SV=1,High,High,0,27.532,39,7,154,6,305,30.5,9.31,136.83,85.76,7,5,stress response;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00076,77134,Hnrnpa0,mmu:77134; Q9CX86,,ENSMUSG00000007836,mRNA processing,1,0,0.93,0.9932463579,39.41,96.3,103.7,39.6,34.08,High,High,High,High,High,High,High,High,1,
TRUE,High,Master Protein,P50396,Rab GDP dissociation inhibitor alpha OS=Mus musculus OX=10090 GN=Gdi1 PE=1 SV=3,High,High,0,34.968,32,10,35,8,447,50.5,5.08,35.34,24.66,10,7,cell organization and biogenesis;transport;signal transduction;other biological processes,cytosol;ER/Golgi;other cell component,enzyme regulator activity;other molecular function,Pf00996,14567,Gdi1,A2AMA8; mmu:14567; P50396; Q3TBI9; Q8VHM3; Q91Y71; Q91Z41; Q96CX5,RAB GEFs exchange GTP for GDP on RABs,ENSMUSG00000015291,,1,2,1.177,0.9546907661,24.41,51.8,148.2,112.54,23.54,n/a,n/a,Peak Found,High,n/a,High,Peak Found,High,1,
TRUE,High,Master Protein,Q9D0B0,Serine/arginine-rich splicing factor 9 OS=Mus musculus OX=10090 GN=Srsf9 PE=1 SV=1,High,High,0,9.952,30,6,24,6,222,25.6,8.65,17.48,5.32,6,5,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,nucleic acid binding activity;other molecular function,Pf00076,108014,Srsf9,mmu:108014; Q9CRN3; Q9D0B0,mRNA Splicing - Major Pathway; Transport of Mature mRNA derived from an Intron-Containing Transcript; mRNA 3'-end processing; RNA Polymerase II Transcription Termination,ENSMUSG00000029538,mRNA processing,6,0,0.842,0.9546907661,38.89,136.7,63.3,18.69,48.98,Peak Found,High,High,High,Peak Found,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q9CQ45,Neudesin OS=Mus musculus OX=10090 GN=Nenf PE=1 SV=1,High,High,0,5.157,17,2,6,2,171,18.9,5.27,5.68,4.21,2,2,signal transduction;other biological processes,non-structural extracellular;other membranes;mitochondrion;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,Pf00173,66208,Nenf,mmu:66208; Q5TM91; Q9CQ45,,ENSMUSG00000037499,,0,0,0.802,0.911225884,15.58,114.9,85.1,59.92,59.75,Peak Found,Peak Found,n/a,High,n/a,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,Q8K2F8,Protein LSM14 homolog A OS=Mus musculus OX=10090 GN=Lsm14a PE=1 SV=1,High,High,0,3.76,5,2,6,2,462,50.5,9.52,4.27,1.79,2,2,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;signal transduction;other biological processes,cytosol;cytoskeleton;other cell component,nucleic acid binding activity,"Pf09532, Pf12701",67070,Lsm14a,mmu:67070; Q8K2F8; Q9CTG8,,ENSMUSG00000066568,,0,0,1.201,0.9461156536,0,44,156,,,n/a,n/a,n/a,High,n/a,n/a,n/a,High,1,
