Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Found in Sample Group: control,Found in Sample Group: ketamine,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Comet: Comet,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Comet,# Peptides (by Search Engine): Sequest HT,Biological Process,Cellular Component,Molecular Function,Pfam IDs,Entrez Gene ID,Gene Symbol,Gene ID,Reactome Pathways,Ensembl Gene ID,WikiPathways,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (ketamine) / (control),Abundance Ratio Adj. P-Value: (ketamine) / (control),Abundance Ratio Variability [%]: (ketamine) / (control),Abundances (Grouped): control,Abundances (Grouped): ketamine,Abundances (Grouped) CV [%]: control,Abundances (Grouped) CV [%]: ketamine,"Found in Sample: F1: Sample, control","Found in Sample: F4: Sample, control","Found in Sample: F5: Sample, control","Found in Sample: F9: Sample, control","Found in Sample: F2: Sample, ketamine","Found in Sample: F6: Sample, ketamine","Found in Sample: F10: Sample, ketamine","Found in Sample: F11: Sample, ketamine",# Protein Groups,Modifications
TRUE,High,Master Protein,Q3UEB3,Poly(U)-binding-splicing factor PUF60 OS=Mus musculus OX=10090 GN=Puf60 PE=1 SV=2,High,Peak Found,0,7.96,5,2,3,2,564,60.2,5.29,4.44,2.64,2,1,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00076,67959,Puf60,mmu:67959; Q3TGC6; Q3UEB3; Q91VR6,mRNA Splicing - Major Pathway,ENSMUSG00000002524,mRNA processing,2,0,0.767,0.9011596798,0,157.1,42.9,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,Q8BP67,Large ribosomal subunit protein eL24 OS=Mus musculus OX=10090 GN=Rpl24 PE=1 SV=2,High,Peak Found,0.019,0.816,8,1,3,1,157,17.8,11.25,1.85,0,1,1,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes,cytosol;ER/Golgi;translational apparatus;other cell component,nucleic acid binding activity;other molecular function,Pf01246,68193,Rpl24,mmu:68193; P38663; Q58EA4; Q8BP67,L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),ENSMUSG00000098274,Cytoplasmic ribosomal proteins,8,0,0.796,0.9047768804,53.91,101.4,98.6,25.39,58.87,High,Peak Found,High,n/a,Peak Found,Peak Found,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus OX=10090 GN=Aldh7a1 PE=1 SV=4,High,Peak Found,0,3.855,3,1,2,1,539,58.8,7.47,1.74,0,1,1,other metabolic processes,cytosol;nucleus,other molecular function,Pf00171,110695,Aldh7a1,mmu:110695; Q3TFC7; Q3TVH7; Q3UKT6; Q9DBF1,Choline catabolism; Lysine catabolism,ENSMUSG00000053644,,2,0,0.282,0.000923622879,0,156,44,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q9R020,Zinc finger Ran-binding domain-containing protein 2 OS=Mus musculus OX=10090 GN=Zranb2 PE=1 SV=2,High,Peak Found,0,2.873,6,2,3,2,330,37.3,9.89,2.08,0,2,1,RNA metabolism OR transcription;other metabolic processes,nucleus,nucleic acid binding activity;other molecular function,Pf00641,53861,Zranb2,mmu:53861; Q3TI29; Q3TLF5; Q3TUB7; Q3UD16; Q9R020,,ENSMUSG00000028180,,0,0,0.858,0.9546907661,0,149.8,50.2,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,O70493,Sorting nexin-12 OS=Mus musculus OX=10090 GN=Snx12 PE=1 SV=1,High,Peak Found,0.001,1.686,10,2,3,2,165,19.1,7.34,2.63,0,2,1,transport,other membranes;other cytoplasmic organelle,other molecular function,Pf00787,55988,Snx12,mmu:55988; O70493; Q9D0N3,,,Nephrotic syndrome,1,0,0.951,0.996783417,40.81,79.7,120.3,75.15,,n/a,n/a,Peak Found,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,Q99NB9,Splicing factor 3B subunit 1 OS=Mus musculus OX=10090 GN=Sf3b1 PE=1 SV=1,High,Peak Found,0.021,0.805,1,1,1,1,1304,145.7,7.09,1.13,,1,,cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,"Pf08920, Pf22646",,Sf3b1,Q99NB9; Q9CSK5,mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway; B-WICH complex positively regulates rRNA expression,,,3,0,0.645,0.6667775553,30.42,121.6,78.4,,28.42,n/a,n/a,n/a,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q9QX47,Protein SON OS=Mus musculus OX=10090 GN=Son PE=1 SV=2,High,Peak Found,0,6.168,2,3,6,3,2444,265.5,5.6,4.48,1.96,3,3,cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,nucleic acid binding activity;other molecular function,"Pf01585, Pf14709, Pf17069",20658,Son,E3WC91; E9PXW2; E9Q3H8; E9Q3I0; E9Q6M4; E9Q7G2; E9QAR8; E9QMT0; mmu:20658; Q811G3; Q9CQ12; Q9CQK6; Q9QX47; Q9QXP5,,ENSMUSG00000022961,mRNA processing,1,0,0.473,0.1301121359,0,170.1,29.9,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,P68433,Histone H3.1 OS=Mus musculus OX=10090 GN=H3c1 PE=1 SV=2,High,Peak Found,0,13.212,45,5,188,1,136,15.4,11.12,158.36,125.45,5,3,cell organization and biogenesis,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00125,319152; 319153; 360198; 97908,H3c1; H3c10; H3c11; H3c8,mmu:319152; mmu:319153; mmu:360198; mmu:97908; P02295; P02296; P16106; P68433; Q05A97; Q3B7Z8; Q3B7Z9; Q5T009,Factors involved in megakaryocyte development and platelet production; RMTs methylate histone arginines; Regulation of endogenous retroelements by KRAB-ZFP proteins; Condensation of Prophase Chromosomes; PKMTs methylate histone lysines; HDACs deacetylate histones; HATs acetylate histones; RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function; Estrogen-dependent gene expression; PRC2 methylates histones and DNA; MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis; HDMs demethylate histones; Interleukin-7 signaling,ENSMUSG00000069265; ENSMUSG00000099517; ENSMUSG00000101355; ENSMUSG00000101972,,14,0,0.664,0.7261158624,95.43,120.2,79.8,76.54,,Peak Found,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,Q99LM3,Smoothelin-like protein 1 OS=Mus musculus OX=10090 GN=Smtnl1 PE=1 SV=1,High,Peak Found,0.019,0.837,3,1,2,1,459,49.5,4.63,2.12,,1,,cell organization and biogenesis;other biological processes,cytoskeleton;nucleus;other cell component,enzyme regulator activity;cytoskeletal activity;other molecular function,Pf00307,68678,Smtnl1,mmu:68678; Q99LM3,,ENSMUSG00000027077,,0,0,0.549,0.3286659209,0,129.1,70.9,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,P41209,Centrin-1 OS=Mus musculus OX=10090 GN=Cetn1 PE=1 SV=1,High,Peak Found,0.022,0.797,5,1,2,1,172,19.7,4.88,1.05,0,1,1,cell cycle OR cell proliferation;cell organization and biogenesis;stress response;other biological processes,cytosol;cytoskeleton;nucleus;other cell component,cytoskeletal activity;other molecular function,Pf13499,26369,Cetn1,mmu:26369; P41209; Q3V119; Q9D9G9; Q9DAL6,Aggrephagy,ENSMUSG00000050996,,1,0,1.149,0.9546907661,16.88,93.1,106.9,12.75,17.49,n/a,Peak Found,n/a,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,P12367,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Mus musculus OX=10090 GN=Prkar2a PE=1 SV=2,High,Peak Found,0,2.398,4,2,3,2,401,45.4,4.89,2.8,1.65,2,1,other biological processes,plasma membrane;other membranes;cytosol;other cell component,signal transduction activity or receptor binding;enzyme regulator activity;other molecular function,"Pf00027, Pf02197",,Prkar2a,P12367,Factors involved in megakaryocyte development and platelet production; Hedgehog 'off' state; DARPP-32 events; Vasopressin regulates renal water homeostasis via Aquaporins; High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells; PKA activation; PKA activation in glucagon signalling; CREB1 phosphorylation through the activation of Adenylate Cyclase; GPER1 signaling,,,9,0,0.791,0.9047768804,36.25,86,114,52.19,23.84,Peak Found,Peak Found,n/a,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,P80316,T-complex protein 1 subunit epsilon OS=Mus musculus OX=10090 GN=Cct5 PE=1 SV=1,High,Peak Found,0.001,1.917,3,1,2,1,541,59.6,6.02,1.38,0,1,1,protein metabolism;other metabolic processes;other biological processes,cytosol;cytoskeleton;other cell component,cytoskeletal activity;nucleic acid binding activity;other molecular function,Pf00118,12465,Cct5,mmu:12465; P80316; Q3TIE0; Q3U530; Q3UCU4; Q3UJK9; Q3UWA9; Q542K3; Q6ZQJ1,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; Association of TriC/CCT with target proteins during biosynthesis,ENSMUSG00000022234,,2,0,0.542,0.3132875266,0,129.7,70.3,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,C0HKD9,Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1,High,Peak Found,0.003,1.351,3,1,2,1,439,51.9,4.98,1.25,0,1,1,RNA metabolism OR transcription;other metabolic processes,nucleus,,Pf06991,100034361; 67532,Mfap1b,C0HKD9; mmu:100034361; mmu:67532; Q3TU29; Q8CCL1; Q9CQU1; Q9CSJ5,mRNA Splicing - Major Pathway,ENSMUSG00000048222; ENSMUSG00000068479,,1,0,0.728,0.8508676473,31.8,115.7,84.3,,29.66,n/a,n/a,n/a,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,Medium,Master Protein,E9Q9K8,A kinase anchor protein 6 OS=Mus musculus OX=10090 GN=Akap6 PE=1 SV=1,High,Peak Found,0.011,0.998,2,1,2,1,2307,254.2,5.06,,0,,1,other biological processes,plasma membrane;other membranes;cytosol;ER/Golgi;nucleus;other cell component,other molecular function,Pf00435,238161,Akap6,E9Q9K8; mmu:238161,,ENSMUSG00000061603,G protein signaling pathways,1,0,0.301,0.002059540563,143.34,172,28,86.34,111.17,Peak Found,Peak Found,High,High,Peak Found,Peak Found,Peak Found,Peak Found,1,
TRUE,High,Master Protein,P41105,Large ribosomal subunit protein eL28 OS=Mus musculus OX=10090 GN=Rpl28 PE=1 SV=2,High,Peak Found,0.001,1.729,8,1,2,1,137,15.7,12.02,1.42,0,1,1,protein metabolism;other metabolic processes,cytosol;translational apparatus;other cell component,other molecular function,Pf01778,19943,Rpl28,mmu:19943; P41105,L13a-mediated translational silencing of Ceruloplasmin expression; SRP-dependent cotranslational protein targeting to membrane; Major pathway of rRNA processing in the nucleolus and cytosol; Formation of a pool of free 40S subunits; GTP hydrolysis and joining of the 60S ribosomal subunit; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),ENSMUSG00000030432,Cytoplasmic ribosomal proteins,8,0,0.762,0.8551374013,31.98,124.1,75.9,26.35,32.43,n/a,Peak Found,Peak Found,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,P60335,Poly(rC)-binding protein 1 OS=Mus musculus OX=10090 GN=Pcbp1 PE=1 SV=1,High,Peak Found,0,18.551,28,8,16,4,356,37.5,7.09,14.67,3.8,8,5,RNA metabolism OR transcription;other metabolic processes;other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00013,23983,Pcbp1,mmu:23983; P60335,mRNA Splicing - Major Pathway; Processing of Capped Intron-Containing Pre-mRNA,ENSMUSG00000051695,mRNA processing,3,4,1.205,0.9459526737,27.67,66.5,133.5,112.51,75.85,n/a,n/a,n/a,High,n/a,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,P46656,"Adrenodoxin, mitochondrial OS=Mus musculus OX=10090 GN=Fdx1 PE=1 SV=1",High,Peak Found,0.002,1.532,5,1,2,1,188,20.1,5.62,1.63,1.72,1,1,other metabolic processes;other biological processes,other membranes;mitochondrion,other molecular function,Pf00111,14148,Fdx1,mmu:14148; P46656,Endogenous sterols; Pregnenolone biosynthesis; Electron transport from NADPH to Ferredoxin; Protein lipoylation,ENSMUSG00000032051,,5,0,0.768,0.9011596798,72.4,113.1,86.9,62.06,,n/a,n/a,Peak Found,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q9CQ62,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial OS=Mus musculus OX=10090 GN=Decr1 PE=1 SV=1",High,Peak Found,0,6.094,10,3,6,3,335,36.2,8.95,4.8,2.17,3,3,other metabolic processes;other biological processes,cytosol;nucleus;other cell component,other molecular function,Pf13561,67460,Decr1,mmu:67460; Q9CQ62; Q9DCI7,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,ENSMUSG00000028223,Fatty acid beta-oxidation; Fatty acid biosynthesis,3,0,0.733,0.8524926838,4.48,113.9,86.1,42.51,46.9,n/a,n/a,Peak Found,High,n/a,Peak Found,Peak Found,Peak Found,1,
TRUE,High,Master Protein,Q9ESZ8,General transcription factor II-I OS=Mus musculus OX=10090 GN=Gtf2i PE=1 SV=3,High,Peak Found,0,2.805,2,2,4,2,998,112.2,6.55,2.58,1.67,2,2,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf02946,14886,Gtf2i,mmu:14886; O54700; O55030; O55031; Q8VHD1; Q8VHD2; Q8VHD3; Q8VHD4; Q9CSB5; Q9D9K9; Q9ESZ8,,ENSMUSG00000060261,,0,0,0.967,0.996783417,39.03,88.7,111.3,64.73,,n/a,Peak Found,Peak Found,High,n/a,n/a,n/a,Peak Found,1,
TRUE,High,Master Protein,Q80WJ7,Protein LYRIC OS=Mus musculus OX=10090 GN=Mtdh PE=1 SV=1,High,Peak Found,0.01,1.047,2,1,2,1,579,63.8,9.33,1.47,1.67,1,1,signal transduction;other biological processes,plasma membrane;other membranes;ER/Golgi;nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf15686,67154,Mtdh,B2RSG8; mmu:67154; Q05CM0; Q3U9F8; Q3UAQ8; Q80WJ7; Q8BN67; Q8CBT9; Q8CDL0; Q8CGI7; Q9D052,,ENSMUSG00000022255,,0,0,0.867,0.9546907661,41.46,107.1,92.9,38.09,,n/a,Peak Found,n/a,High,n/a,Peak Found,n/a,n/a,1,
TRUE,High,Master Protein,P56812,Programmed cell death protein 5 OS=Mus musculus OX=10090 GN=Pdcd5 PE=1 SV=3,High,Peak Found,0,3.968,10,1,2,1,126,14.3,5.68,2.13,2.35,1,1,other biological processes,cytosol;nucleus;other cell component,nucleic acid binding activity,Pf01984,56330,Pdcd5,mmu:56330; P56812,,ENSMUSG00000030417,,0,0,0.703,0.8112425063,8.19,117.4,82.6,,7.8,n/a,n/a,n/a,High,n/a,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,P53996,CCHC-type zinc finger nucleic acid binding protein OS=Mus musculus OX=10090 GN=Cnbp PE=1 SV=2,High,Peak Found,0,4.278,15,2,2,2,178,19.6,7.58,2.78,,2,,DNA metabolism;other metabolic processes;other biological processes,cytosol;ER/Golgi;nucleus;other cell component,nucleic acid binding activity;other molecular function,Pf00098,12785,Cnbp,mmu:12785; P53996; Q80Y06; Q8BP23,,ENSMUSG00000030057,,0,0,1.022,0.996783417,23.54,77.3,122.7,72.23,41.62,Peak Found,Peak Found,Peak Found,High,n/a,n/a,Peak Found,Peak Found,1,
TRUE,High,Master Protein,P53395,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus OX=10090 GN=Dbt PE=1 SV=2",High,Peak Found,0.001,1.831,2,1,2,1,482,53.2,8.6,1.56,1.76,1,1,other metabolic processes,cytosol;cytoskeleton;mitochondrion;other cell component,other molecular function,"Pf00198, Pf00364, Pf02817",13171,Dbt,mmu:13171; P53395; Q3TMF5,"RHOH GTPase cycle; Mitochondrial protein degradation; Branched-chain amino acid catabolism; BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV; Protein lipoylation",ENSMUSG00000000340,,5,0,0.772,0.9047768804,0,112.9,87.1,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,Q8BW75,Amine oxidase [flavin-containing] B OS=Mus musculus OX=10090 GN=Maob PE=1 SV=4,High,Peak Found,0.015,0.897,2,1,1,1,520,58.5,8.29,1.46,,1,,other metabolic processes;other biological processes,other membranes;mitochondrion;other cell component,other molecular function,Pf01593,109731,Maob,mmu:109731; Q14CG9; Q8BW75; Q8C0B2,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,ENSMUSG00000040147,Tryptophan metabolism,2,0,0.651,0.6893321154,1.37,121.1,78.9,,1.31,n/a,n/a,n/a,High,n/a,Peak Found,n/a,Peak Found,1,
TRUE,High,Master Protein,Q8BSY0,Aspartyl/asparaginyl beta-hydroxylase OS=Mus musculus OX=10090 GN=Asph PE=1 SV=1,High,Peak Found,0,4.555,2,1,2,1,741,83,5.08,1.77,0,1,1,cell cycle OR cell proliferation;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;ER/Golgi;other cell component,other molecular function,"Pf05118, Pf05279, Pf13181, Pf13432",65973,Asph,mmu:65973; Q6P8S1; Q8BSY0; Q9EPA6; Q9EQ64,Ion homeostasis; Stimuli-sensing channels,ENSMUSG00000028207,,2,0,0.901,0.9739393963,0,105.2,94.8,,,n/a,n/a,n/a,High,n/a,n/a,n/a,Peak Found,1,
TRUE,Medium,Master Protein,P70122,Ribosome maturation protein SBDS OS=Mus musculus OX=10090 GN=Sbds PE=1 SV=4,High,Peak Found,0.032,0.72,4,1,1,1,250,28.8,8.76,,1.88,,1,cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;developmental processes;other biological processes,cytosol;cytoskeleton;nucleus,cytoskeletal activity;translation activity;nucleic acid binding activity,"Pf01172, Pf09377, Pf20268",66711,Sbds,mmu:66711; P70122; Q3TG78; Q9CR18,,ENSMUSG00000025337,,0,0,1.533,0.630685393,0.73,79,121,15.68,,n/a,Peak Found,Peak Found,High,n/a,n/a,Peak Found,n/a,1,
